German Word,Word Group,Part of Speech
fünf,Zahlen,Number
sechs,Zahlen,Number
sieben,Zahlen,Number
acht,Zahlen,Number
neun,Zahlen,Number
zehn,Zahlen,Number
elf,Zahlen,Number
zwölf,Zahlen,Number
dreizehn,Zahlen,Number
vierzehn,Zahlen,Number
fünfzehn,Zahlen,Number
sechzehn,Zahlen,Number
siebzehn,Zahlen,Number
achtzehn,Zahlen,Number
neunzehn,Zahlen,Number
zwanzig,Zahlen,Number
einundzwanzig,Zahlen,Number
dreißig,Zahlen,Number
vierzig,Zahlen,Number
fünfzig,Zahlen,Number
sechzig,Zahlen,Number
siebzig,Zahlen,Number
achtzig,Zahlen,Number
neunzig,Zahlen,Number
hundert,Zahlen,Number
hunderteins,Zahlen,Number
zweihundert,Zahlen,Number
tausend,Zahlen,Number
Million,Zahlen,Number
Milliarde,Zahlen,Number
erste,Zahlen,Ordinal Number
zweite,Zahlen,Ordinal Number
dritte,Zahlen,Ordinal Number
vierte,Zahlen,Ordinal Number
halb,Zahlen,Fraction
Viertel,Zahlen,Fraction
Sekunde,Zeitmaße,Noun
Minute,Zeitmaße,Noun
Stunde,Zeitmaße,Noun
Tag,Zeitmaße,Noun
Woche,Zeitmaße,Noun
Jahr,Zeitmaße,Noun
Wochentag,Woche/Wochentage,Noun
Sonntag,Woche/Wochentage,Noun
Montag,Woche/Wochentage,Noun
Dienstag,Woche/Wochentage,Noun
Mittwoch,Woche/Wochentage,Noun
Donnerstag,Woche/Wochentage,Noun
Freitag,Woche/Wochentage,Noun
Samstag,Woche/Wochentage,Noun
Sonnabend,Woche/Wochentage,Noun
Wochenende,Woche/Wochentage,Noun
Morgen,Tag/Tageszeiten,Noun
Vormittag,Tag/Tageszeiten,Noun
Mittag,Tag/Tageszeiten,Noun
Nachmittag,Tag/Tageszeiten,Noun
Abend,Tag/Tageszeiten,Noun
Nacht,Tag/Tageszeiten,Noun
Januar,Monat/Monatsnamen,Noun
Februar,Monat/Monatsnamen,Noun
März,Monat/Monatsnamen,Noun
April,Monat/Monatsnamen,Noun
Mai,Monat/Monatsnamen,Noun
Juni,Monat/Monatsnamen,Noun
Juli,Monat/Monatsnamen,Noun
August,Monat/Monatsnamen,Noun
September,Monat/Monatsnamen,Noun
Oktober,Monat/Monatsnamen,Noun
November,Monat/Monatsnamen,Noun
Dezember,Monat/Monatsnamen,Noun
Frühling,Jahr/Jahreszeiten,Noun
Frühjahr,Jahr/Jahreszeiten,Noun
Sommer,Jahr/Jahreszeiten,Noun
Herbst,Jahr/Jahreszeiten,Noun
Winter,Jahr/Jahreszeiten,Noun
Euro,Währungen,Noun
Cent,Währungen,Noun
Meter,Maße und Gewichte,Noun
Zentimeter,Maße und Gewichte,Noun
Kilometer,Maße und Gewichte,Noun
Quadratmeter,Maße und Gewichte,Noun
Grad,Maße und Gewichte,Noun
Prozent,Maße und Gewichte,Noun
Liter,Maße und Gewichte,Noun
Gramm,Maße und Gewichte,Noun
Pfund,Maße und Gewichte,Noun
Kilogramm,Maße und Gewichte,Noun
Kilo,Maße und Gewichte,Noun
Deutschland,Länder/Ländernamen,Noun
Deutsche,Länder/Ländernamen,Noun
deutsch,Länder/Ländernamen,Adjective
Europa,Länder/Ländernamen,Noun
Europäer,Länder/Ländernamen,Noun
europäisch,Länder/Ländernamen,Adjective
schwarz,Farben,Adjective
grau,Farben,Adjective
blau,Farben,Adjective
grün,Farben,Adjective
weiß,Farben,Adjective
rot,Farben,Adjective
gelb,Farben,Adjective
braun,Farben,Adjective
Norden,Himmelsrichtungen,Noun
Süden,Himmelsrichtungen,Noun
Westen,Himmelsrichtungen,Noun
Osten,Himmelsrichtungen,Noun
